index,question_id,question_type,stem,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,topic
90,91,single,Which lesion of infective endocarditis is painless rather than painful?,Osler node,Janeway lesion,Tender purpura,Roth spot,Splinter hemorrhage,B,Janeway lesions are painless while Osler nodes are tender.,Endocarditis
91,92,single,Roth spots are best described as what?,Painful toe nodules,Painless palmar macules,Retinal hemorrhages with pale centers,Pustular skin lesions,Nail clubbing,C,Roth spots are retinal lesions with pale centers.,Endocarditis
92,93,single,Splinter hemorrhages in endocarditis are found where?,Tongue,Nail beds,Conjunctiva,Palms,Soles,B,Splinter hemorrhages are linear nail-bed hemorrhages.,Endocarditis
93,94,single,Which native valve abnormality increases risk of aortic valve endocarditis and root abscess?,Mitral valve prolapse without MR,Bicuspid aortic valve,Small secundum ASD,Trivial PR,Innocent murmur,B,A bicuspid aortic valve is a classic substrate for endocarditis and periannular extension.,Endocarditis
94,95,single,In infective endocarditis the appearance of new valvular regurgitation suggests what?,Guaranteed cure,Mechanical complication and higher risk disease,Stable healed disease,Anemia only,No clinical importance,B,New regurgitation implies valve destruction and complicated IE.,Endocarditis
95,96,single,Which of the following is a classic heart failure related indication for surgery in infective endocarditis?,Mild pedal edema only,Acute severe valvular regurgitation causing pulmonary edema,Sinus bradycardia,Normal BNP,Stable chronic dyspnea unchanged for years,B,Heart failure from acute valve dysfunction is a major surgical indication in IE.,Endocarditis
96,97,single,A patient with left-sided IE has a large mobile vegetation and recurrent embolic events despite antibiotics. What is the preferred strategy?,Continue same antibiotics only,Consider early surgery,Stop all anticoagulation and discharge,Repeat treadmill test,Start thrombolysis,B,Large vegetation with recurrent emboli is a surgical indication.,Endocarditis
97,98,single,In a life-threatening pregnancy complicated by severe pulmonary hypertension decompensation what may need to be discussed by the multidisciplinary team?,Smoking cessation only,Termination of pregnancy,Routine home discharge,Permanent bed rest only,Exercise training program,B,Termination may need to be discussed because maternal risk can be extreme.,Pulmonary Hypertension
98,99,single,The S3 gallop is best heard with which part of the stethoscope and where?,Diaphragm at right upper sternal border,Bell at the apex,Bell over carotids,Diaphragm at back,Bell at left neck,B,S3 is low frequency and best heard with the bell at the apex.,Heart Sounds
99,100,single,What is the best concise definition of the effective regurgitant orifice area in mitral regurgitation?,The total mitral annular circumference,The functional area through which regurgitant flow passes,The area of the left atrium,The LVOT area,The valve opening area in diastole,B,EROA is the functional area of the regurgitant lesion in MR.,Echocardiography
100,101,single,"In a patient with suspected pulmonary stenosis during pregnancy, the murmur is best heard at which site?",Right upper sternal border,Left upper sternal border,Apex,Left lower sternal border,Back,B,Pulmonary stenosis is classically heard best at the left upper sternal border.,Valvular
101,102,single,Which of the following findings most strongly supports pathologic rather than physiologic systolic murmur in pregnancy?,Soft grade 1 murmur,No radiation,Palpable thrill,Variation with position,Normal pregnancy state,C,A palpable thrill indicates a pathologic murmur.,Pregnancy
102,103,single,Which antiarrhythmic is notorious for causing thyroid and pulmonary toxicity?,Lidocaine,Amiodarone,Adenosine,Verapamil,Propafenone,B,Amiodarone can cause both thyroid dysfunction and interstitial lung toxicity.,Pharmacology
103,104,single,A patient on amiodarone develops progressive dry cough and dyspnea. What is the first practical step after suspecting drug toxicity?,Increase amiodarone dose,Stop amiodarone and assess severity,Start thrombolysis,Give beta blocker only,No action needed,B,Stopping the offending drug is central once toxicity is suspected.,Pharmacology
104,105,single,Which fibrinolytic complication is most feared and requires immediate cessation of therapy?,Mild gum bleeding,Minor bruising,Intracranial hemorrhage,Epistaxis,Small hematoma,C,Intracranial bleeding is the most catastrophic hemorrhagic complication of thrombolysis.,Pharmacology
105,106,single,A patient with myocarditis most commonly develops heart failure because of what process?,Fixed valvular stenosis,Myocardial inflammation causing systolic dysfunction,Pericardial calcification,Coronary embolism only,Severe anemia,B,Myocardial inflammation impairs contractility and causes systolic dysfunction.,Myocarditis
106,107,single,Which virus is classically linked to dilated cardiomyopathy following myocarditis?,Coxsackie B,EBV,CMV only,Adenovirus only,HSV-2,A,Coxsackie B is the classic exam association.,Myocarditis
107,108,single,Eruptive xanthomas are typically located over which areas?,Palms and eyelids only,Extensor surfaces and buttocks,Soles only,Face and scalp only,Ear lobes only,B,Eruptive xanthomas commonly affect extensor surfaces and buttocks.,Lipids
108,109,single,Severe hypertriglyceridemia usually corresponds to triglyceride levels above approximately:,150 mg/dL,200 mg/dL,500 mg/dL,1000 mg/dL,3000 mg/dL,D,Very severe hypertriglyceridemia with eruptive xanthomas and pancreatitis risk is often around or above 1000 mg/dL.,Lipids
109,110,single,Which congenital lesion classically causes cyanotic spells relieved by squatting?,ASD,PDA,Tetralogy of Fallot,Coarctation,Pulmonary vein stenosis,C,Squatting relieves hypercyanotic spells in TOF.,Congenital
110,111,single,Why does squatting improve cyanosis in TOF?,It lowers venous return,It increases systemic vascular resistance,It lowers pulmonary resistance to zero,It closes the VSD,It reduces oxygen consumption only,B,Increased systemic vascular resistance reduces right-to-left shunting.,Congenital
111,112,single,"In ischemic mitral regurgitation, the murmur is usually best heard where?",Base,Left upper sternal border,Apex,Back only,Supraclavicular area,C,MR is best heard at the apex.,Valvular
112,113,single,A new holosystolic murmur after MI should immediately raise concern for which mechanical complication?,Aortic stenosis,Papillary muscle dysfunction or rupture,Pericarditis only,ASD,Pulmonary stenosis,B,Acute ischemic MR after MI often reflects papillary muscle dysfunction or rupture.,ACS
113,114,single,Which stress echo response pattern suggests scar rather than viability?,Biphasic response,Improvement at low dose only,No contractile improvement at low or high dose,Initial worsening then recovery,Hyperdynamic response,C,A fixed akinetic segment without recruitment suggests scar tissue.,Viability
114,115,single,Viable myocardium is clinically important because it may:,Never recover,Improve after revascularization,Exclude CAD,Make surgery impossible,Cause only diastolic failure,B,Viable dysfunctional myocardium can recover after revascularization.,Viability
115,116,single,Which finding is most typical of HOCM on physical exam?,Diastolic rumble at apex,Systolic murmur that increases with Valsalva,Continuous machinery murmur,Fixed split S2,Opening snap,B,"The dynamic murmur of HOCM increases when preload falls, as in Valsalva.",Cardiomyopathy
116,117,single,Which bedside maneuver usually increases venous return and reduces the HOCM murmur?,Standing,Valsalva strain,Squatting,Nitroglycerin,Amyl nitrite,C,"Squatting increases preload and afterload, reducing obstruction.",Cardiomyopathy
117,118,single,Which platelet receptor is responsible for platelet adhesion to vWF?,GP IIb/IIIa,GP Ib,P2Y12,PAR-1,COX-1,B,GP Ib binds von Willebrand factor and mediates adhesion.,Hematology
118,119,single,Which vessel lies lateral to the internal jugular vein in the neck?,Carotid artery,Subclavian vein,Thoracic duct,Phrenic nerve,Esophagus,A,The carotid artery lies medial to the IJV; the vein is lateral in the classic relationship.,Procedure
119,120,single,Apical hypertrophic cardiomyopathy is most strongly associated with which imaging clue?,Apical aneurysm always,Spade-shaped LV cavity,Large ASD,Severe RV dilation,Constrictive septal bounce,B,A spade-shaped LV cavity is classic for apical HCM.,Cardiomyopathy
120,121,single,Transposition of the great arteries causes what physiologic problem if no mixing lesion exists?,Systemic venous return reaches lungs normally,Parallel circulations with severe cyanosis,Pure left-to-right shunt,Only diastolic failure,No cyanosis,B,"Without mixing, pulmonary and systemic circulations run in parallel causing profound cyanosis.",Congenital
121,122,single,A harsh systolic murmur radiating to the carotids most strongly indicates:,Mitral stenosis,Aortic stenosis,Tricuspid regurgitation,VSD,Pulmonary regurgitation,B,Carotid radiation is a classic feature of AS.,Valvular
122,123,single,"In severe aortic stenosis, exertional syncope is most often due to:",Marked vasodilation with fixed outflow obstruction,Massive PE,Aortic rupture,Mitral stenosis,High output failure,A,Fixed LV outflow obstruction limits augmentation of cardiac output during exertion.,Valvular
123,124,single,Which sign is classic in chronic severe aortic regurgitation?,Opening snap,Bounding pulses,Midsystolic click,Fixed split S2,Pulsus paradoxus,B,Chronic severe AR produces bounding pulses and wide pulse pressure.,Valvular
124,125,single,Which maneuver accentuates the murmur of aortic regurgitation?,Squatting,Leaning forward in expiration,Standing from squat,Valsalva strain only,Handgrip release,B,AR is best heard with the patient leaning forward at end-expiration.,Valvular
125,126,single,Mitral valve prolapse results from which basic mechanism?,Valve commissural fusion,Leaflet billowing into left atrium during systole,Leaflet calcification only,Aortic root dilation,Pulmonary hypertension,B,MVP is systolic billowing of mitral leaflets into the LA.,Valvular
126,127,single,Which murmur becomes softer with handgrip?,Mitral regurgitation,Aortic regurgitation,HOCM,VSD,TR,C,Handgrip increases afterload and generally reduces the murmur of HOCM.,Physical Exam
127,128,single,An S3 is produced during which phase?,Atrial contraction,Rapid passive ventricular filling,Isovolumic contraction,Late systole,Aortic valve closure,B,S3 occurs during early diastolic rapid filling.,Heart Sounds
128,129,single,Exertional collapse with family history of sudden death should prompt evaluation for all except:,Hypertrophic cardiomyopathy,Inherited arrhythmia syndrome,Aortic dissection as chronic cause,Catecholaminergic VT,Long QT syndrome,C,"The classic inherited exertional collapse differential includes HCM and arrhythmic syndromes, not chronic aortic dissection.",Arrhythmia
129,130,single,"In AF with eGFR 20 mL/min, which statement is most accurate?",All DOACs are clearly superior,Warfarin remains a common choice with monitoring,Anticoagulation is always contraindicated,Aspirin replaces anticoagulation,No stroke risk exists,B,Advanced CKD often pushes practice toward warfarin with careful monitoring.,Anticoagulation
130,131,single,RV infarction most commonly accompanies infarction of which wall?,Lateral,Anterior,Inferior,High lateral,Septal only,C,RV infarction classically accompanies inferior MI.,ACS
131,132,single,Which bedside clue helps distinguish RV infarction from isolated LV failure after MI?,Basal crackles dominate,Clear lungs with high JVP,Pulsus paradoxus only,Opening snap,Wide pulse pressure,B,"RV infarction often presents with hypotension, raised JVP, and clear lungs.",ACS
132,133,single,"In infective endocarditis, splinter hemorrhages are examples of:",Valve destruction,Peripheral stigmata,Absolute surgical indications,Janeway lesions,Roth spots,B,Splinter hemorrhages are peripheral stigmata of IE.,Endocarditis
133,134,single,Which valve complication most directly causes a new early diastolic murmur in aortic valve endocarditis?,Mitral stenosis,Aortic regurgitation,Tricuspid stenosis,Pulmonary stenosis,ASD,B,A new early diastolic murmur suggests acute aortic regurgitation.,Endocarditis
134,135,single,TEE is especially important in suspected aortic root abscess because transthoracic echo may be limited by:,Too much color flow,Poor acoustic windows,LV hypertrophy only,Sinus tachycardia,PVCs,B,TTE may miss periannular extension because of limited resolution and acoustic windows.,Endocarditis
135,136,single,A patient with suspected root abscess develops heart block. This suggests:,Benign disease,Extension into the conduction system,Recovery phase,Only anemia,Pulmonary embolism,B,Periannular extension can involve the conduction system and cause AV block.,Endocarditis
136,137,single,Which pregnancy-related hemodynamic change most stresses a patient with pulmonary hypertension?,Reduced blood volume,Increased cardiac output,Severe bradycardia,Marked decrease in venous return,Systemic vasoconstriction only,B,"Pregnancy normally raises cardiac output, which may overwhelm the RV in PH.",Pulmonary Hypertension
137,138,single,"In severe PAH with RV failure, the raised JVP reflects:",Left atrial pressure only,Systemic venous congestion from RV dysfunction,Hyperthyroidism,Normal pregnancy state,Aortic regurgitation,B,RV failure causes systemic venous congestion and raised JVP.,Pulmonary Hypertension
138,139,single,Cold extremities in cardiogenic shock primarily reflect:,Peripheral vasodilation,Peripheral vasoconstriction due to low output,Hyperthermia,Anaemia only,Increased pulse pressure,B,Low cardiac output causes compensatory peripheral vasoconstriction.,Shock
139,140,single,Which term best describes shock caused predominantly by failing right ventricular forward flow in severe PH?,Distributive shock,Cardiogenic shock,Hypovolemic shock,Septic shock,Obstructive shock only,B,"The dominant mechanism is pump failure with low output, i.e., cardiogenic shock.",Shock
140,141,single,Which murmur usually increases with standing?,Aortic stenosis,HOCM and MVP-related findings,Mitral stenosis,PDA,TR from RV failure,B,Standing reduces LV volume and accentuates HOCM and MVP findings.,Physical Exam
141,142,single,Which lesion typically produces a wide fixed split S2?,Aortic stenosis,ASD,HOCM,MVP,Pulmonary edema,B,ASD classically causes a wide fixed split S2.,Congenital
142,143,single,Which congenital lesion depends on prostaglandin to maintain ductal patency in the newborn with TGA before definitive management?,Small PDA closure,Mixing-dependent severe cyanotic lesion,Mild pulmonary stenosis,TOF after repair,Isolated ASD,B,Ductal patency may be critical to improve mixing in TGA.,Congenital
143,144,single,Which echo finding is classic for HOCM?,Global LV dilation,Systolic anterior motion of the mitral valve,Aortic root abscess,Fixed ASD shunt,McConnell sign,B,SAM of the mitral valve is classic in obstructive HCM.,Echocardiography
144,145,single,What is the mechanism of systolic anterior motion in HOCM?,Rheumatic fusion,Dynamic Venturi/drag forces in narrowed LVOT,Aortic dissection,Pericardial knock,Tricuspid tethering,B,Dynamic flow forces pull the anterior mitral leaflet toward the septum.,Echocardiography
145,146,single,Which lipid abnormality is most associated with tendon xanthomas rather than eruptive xanthomas?,Severe hypertriglyceridemia,Familial hypercholesterolemia,Low HDL,Hypobetalipoproteinemia,Low ApoB,B,Tendon xanthomas are classic in familial hypercholesterolemia.,Lipids
146,147,single,Which apolipoprotein activates lipoprotein lipase?,ApoA1,ApoB100,ApoC-II,ApoE,Apo(a),C,ApoC-II activates lipoprotein lipase.,Lipids
147,148,single,Which formula best describes mean arterial pressure conceptually?,DBP plus pulse pressure,CO times SVR plus CVP approximation,HR divided by SV,Stroke volume times heart rate squared,SBP minus DBP only,B,MAP is driven by cardiac output and systemic vascular resistance.,Physiology
148,149,single,The renin-angiotensin-aldosterone system raises blood pressure mainly by:,Reducing sodium reabsorption,Vasoconstriction and sodium retention,Only slowing heart rate,Increasing vagal tone,Lowering aldosterone,B,RAAS increases pressure through vasoconstriction and sodium-water retention.,Physiology
149,150,single,Which factor is part of the intrinsic coagulation pathway?,Factor VII,Factor XII,Tissue factor,Factor III only,Thrombomodulin,B,Factor XII belongs to the intrinsic pathway.,Hematology
150,151,single,The common coagulation pathway begins with activation of:,Factor VIII,Factor X,Factor XII,Factor VII,Protein C,B,Activation of factor X starts the common pathway.,Hematology
151,152,single,Which lipid-lowering therapy has the strongest effect on triglycerides among common oral agents?,Ezetimibe,Fibrate,Bile acid resin,Niacin is obsolete only,Aspirin,B,Fibrates are particularly effective for triglyceride lowering.,Lipids
152,153,single,Drug-induced torsades is usually due to which ionic effect?,Shortened repolarization,Delayed repolarization with prolonged QT,Short PR interval,Enhanced AV nodal conduction,Shortened QRS only,B,QT prolongation from delayed repolarization predisposes to torsades.,Arrhythmia
153,154,single,Which antiarrhythmic class is most associated with torsades due to QT prolongation?,Class IB only,Class IA and III,Class II only,Class IV only,Adenosine,B,Class IA and many class III agents prolong QT.,Arrhythmia
154,155,single,"For coronary CT angiography, beta blockers are often used to:",Raise heart rate,Lower heart rate and improve image quality,Increase coronary calcification,Treat PE,Enhance renal perfusion,B,A lower heart rate improves temporal resolution for CTCA.,Imaging
155,156,single,What is the preferred patient instruction regarding breath-holding during CT coronary angiography?,No breath-hold needed,Stillness and short breath-hold help reduce motion artifact,Forceful hyperventilation is required,Lie prone,Deep coughing is encouraged,B,Motion reduction is crucial for image quality.,Imaging
156,157,single,A patient with HOCM and syncope should be risk stratified for:,Valve surgery only,ICD consideration,Thrombolysis,Mitral valvotomy,TAVI,B,Syncope in HCM is a major risk marker prompting ICD consideration.,Cardiomyopathy
157,158,single,Which family history detail is especially concerning in HCM?,Hypertension in elderly parent,Sudden death at young age,Diabetes in sibling,Hyperlipidemia in uncle,Stroke at 90,B,Young sudden death in relatives is a major risk factor.,Cardiomyopathy
158,159,single,Which antiplatelet drug blocks ADP-mediated platelet activation?,Aspirin,Clopidogrel,Warfarin,Enoxaparin,Abciximab,B,Clopidogrel inhibits the P2Y12 ADP receptor.,Pharmacology
159,160,single,Aspirin reduces platelet activation by inhibiting:,Factor Xa,COX-1 mediated thromboxane A2 synthesis,GP Ib,Thrombin receptor,ApoB,B,Aspirin irreversibly inhibits platelet COX-1.,Pharmacology
160,161,single,"In severe aortic stenosis, which symptom triad is classic?",Fever edema palpitations,Angina syncope dyspnea,Cough hemoptysis wheeze,Fatigue jaundice ascites,Headache flushing diarrhea,B,"The classic triad is angina, syncope, and dyspnea.",Valvular
161,162,single,Which finding best suggests acute rather than chronic MR after MI?,Longstanding LA enlargement,Flash pulmonary edema and shock,Giant left atrium,Calcified annulus,Water hammer pulse,B,Acute MR after MI causes abrupt pulmonary edema and hemodynamic collapse.,ACS
162,163,single,Which lesion gives a pansystolic murmur that increases with inspiration?,Mitral regurgitation,Tricuspid regurgitation,Aortic stenosis,Pulmonary stenosis,MVP,B,Right-sided murmurs like TR increase with inspiration.,Valvular
163,164,single,Carvallo sign refers to increased intensity of which murmur with inspiration?,AR,TR,MS,AS,MVP,B,Carvallo sign describes inspiratory augmentation of TR.,Physical Exam
164,165,single,Which congenital lesion is most associated with maternal rubella?,PDA,TOF,TGA,Coarctation,Truncus,A,Rubella is classically associated with PDA.,Congenital
165,166,single,Which congenital lesion is associated with 22q11 deletion besides TOF?,Truncus arteriosus,PDA due to rubella,Ebstein anomaly,TAPVR,Bicuspid aortic valve only,A,Conotruncal abnormalities such as truncus arteriosus are linked to 22q11 deletion.,Congenital
166,167,single,Which of the following best defines EROA in MR?,Anatomic mitral annulus size,Functional area of regurgitant jet origin,LA appendage size,LVOT area,Mitral valve area in diastole,B,EROA refers to the effective area through which regurgitation occurs.,Echocardiography
167,168,single,PISA in MR is based on the principle of:,Laminar flow in aorta only,Flow convergence proximal to a regurgitant orifice,Fixed pressure half-time only,Valve calcification,Color gain artifact,B,PISA measures flow convergence to estimate regurgitant flow and EROA.,Echocardiography
168,169,single,Which MR parameter generally indicates more severe regurgitation?,Tiny vena contracta,Larger EROA,Lower regurgitant volume,Small jet only,Normal LA size,B,A larger EROA indicates more severe MR.,Echocardiography
169,170,single,Which prosthetic valve complication may mimic persistent fever and murmur after treatment?,Valve thrombosis or paravalvular abscess,Only dehydration,Stable sinus rhythm,Benign flow murmur,Hyperthyroidism,A,Persistent infection signs raise concern for prosthetic complications like abscess.,Endocarditis
170,171,single,Which organism is classically associated with prosthetic valve endocarditis early after surgery?,Viridans streptococci only,Staphylococcus epidermidis,Coxiella only,TB,Candida only,B,Coagulase-negative staphylococci are classic in early prosthetic valve IE.,Endocarditis
171,172,single,A patient with severe PH in pregnancy has syncope. This symptom is worrisome because it may indicate:,Recovered RV function,Critically low cardiac output,Mild disease only,Anxiety only,Normal pregnancy physiology,B,Syncope in severe PH suggests dangerously reduced output.,Pulmonary Hypertension
172,173,single,Which vasopressor is often favored in cardiogenic shock with severe hypotension?,Nitroglycerin,Norepinephrine,Amlodipine,Isosorbide,Hydralazine,B,Norepinephrine is commonly used to support pressure in shock.,Shock
173,174,single,Which inotrope may be considered to support RV contractility in selected shock states?,Dobutamine,Warfarin,Digoxin alone for all shock,Ezetimibe,Verapamil,A,Dobutamine may improve contractility if blood pressure can tolerate it.,Shock
174,175,single,Why must diuretics be used carefully in RV infarction?,Because RV infarction needs high afterload,Because excessive preload reduction can worsen output,Because they always cause torsades,Because they raise JVP,Because they improve RV output regardless volume,B,"RV infarction is preload dependent, so overdiuresis can worsen hypotension.",ACS
175,176,single,Which ECG lead pattern best supports inferior MI?,I and aVL elevation,II III aVF elevation,V1-V4 elevation,Diffuse ST depression only,aVR elevation only,B,"Inferior MI presents with ST elevation in II, III, and aVF.",ACS
176,177,single,Aortic root abscess in IE should be suspected when fever is accompanied by:,Improving murmur,New conduction abnormality,Stable PR interval only,Painless xanthelasma,Water hammer pulse only,B,New conduction defects suggest periannular extension.,Endocarditis
177,178,single,Which physical sign is most classically associated with chronic severe AR?,Malar flush,De Musset head bobbing,Pulsus paradoxus,Midsystolic click,Opening snap,B,Head bobbing with each heartbeat is one of the classic peripheral signs of chronic AR.,Physical Exam
178,179,single,Which lesion is most likely if a mid-systolic click is followed by a late systolic murmur?,MVP,AS,MS,AR,TR,A,This is the classic auscultatory pattern of mitral valve prolapse.,Valvular
179,180,single,"In MVP, which maneuver tends to lengthen the murmur?",Squatting,Leg raise,Standing,Handgrip,Passive leg raise,C,"Standing reduces LV volume, bringing on earlier prolapse and a longer murmur.",Physical Exam
180,181,single,Which chamber enlargement is common in chronic severe MR?,RA only,LA and LV enlargement,RV hypertrophy only,Small LA,No chamber change,B,Chronic MR causes volume overload of both LA and LV.,Valvular
181,182,single,Which chamber is primarily pressure-loaded in pulmonary hypertension?,Left atrium,Left ventricle,Right ventricle,Aorta,Pulmonary veins,C,Pulmonary hypertension imposes pressure overload on the RV.,Pulmonary Hypertension
182,183,single,The most common cause of death in untreated severe pulmonary arterial hypertension is:,Left main rupture,Progressive right heart failure,Acute AR only,Aortic dissection,Liver failure primary,B,Progressive RV failure is the terminal pathway in severe PAH.,Pulmonary Hypertension
183,184,single,Which parameter is most useful to estimate RV systolic pressure on echo in the absence of pulmonic stenosis?,Mitral inflow E/A,TR jet velocity,Aortic VTI only,LA strain,LV mass,B,TR velocity allows estimation of RVSP via Bernoulli equation.,Echocardiography
184,185,single,Which bedside sign best suggests elevated right-sided filling pressure?,Bounding carotids,Raised JVP,Water hammer pulse,Narrow pulse pressure only,Pistol-shot femorals,B,Raised JVP is the classic bedside sign.,Physical Exam
185,186,single,Which medication class is generally avoided in pregnancy-associated pulmonary hypertension because of teratogenicity?,Endothelin receptor antagonists,Oxygen therapy,Diuretics ever,Heparin,Calcium,A,Endothelin receptor antagonists are teratogenic and generally avoided in pregnancy.,Pulmonary Hypertension
186,187,single,Which anticoagulant is preferred over warfarin in pregnancy when anticoagulation is necessary in many settings?,Warfarin always,Heparin-based therapy,Rivaroxaban,Dabigatran,Edoxaban,B,Heparins are generally preferred because they do not cross the placenta.,Pregnancy
187,188,single,Which congenital lesion classically causes differential cyanosis when Eisenmenger physiology develops?,PDA,ASD,VSD always,TOF,TGA,A,PDA with reversed shunting can cause differential cyanosis affecting lower extremities more.,Congenital
188,189,single,Which sign is most typical of constrictive pericarditis rather than restrictive cardiomyopathy?,Loud S1,Pericardial knock,Water hammer pulse,Midsystolic click,Wide fixed split S2,B,A pericardial knock is classically heard in constrictive pericarditis.,Pericardium
189,190,single,Which layer of the pericardium is directly adherent to the heart?,Fibrous pericardium,Parietal serous pericardium,Visceral serous pericardium,Pleura,Endocardium,C,The visceral serous pericardium is the epicardium.,Pericardium
190,191,single,The mitral valve normally has how many leaflets?,1,2,3,4,5,B,The mitral valve has anterior and posterior leaflets.,Anatomy
191,192,single,The aortic valve normally has how many cusps?,1,2,3,4,5,C,The normal aortic valve is tricuspid.,Anatomy
192,193,single,Which murmur is best heard at the left lower sternal border and increases with Valsalva?,HOCM,AS,MS,TR,PDA,A,The HOCM murmur is often heard along the left sternal border and increases with Valsalva.,Physical Exam
193,194,single,"In chronic severe AR, LV remodeling is primarily due to:",Pure pressure overload,Volume overload,No load change,Only RV overload,Only atrial overload,B,AR causes chronic LV volume overload.,Valvular
194,195,single,Which echo measurement helps quantify severity of AS?,Mitral EROA,Aortic valve area,TAPSE only,LA size only,TR vena contracta,B,Aortic valve area is central to grading AS severity.,Echocardiography
195,196,single,Which finding favors severe AS?,Mean gradient 10 mmHg,Aortic valve area 0.7 cm2,Wide-open valve,No symptoms ever,Bounding pulse,B,An AVA of 0.7 cm2 is in the severe range.,Echocardiography
196,197,single,Which lesion classically gives a machinery murmur?,PDA,ASD,MS,AR,PS,A,A continuous machinery murmur is classic for PDA.,Congenital
197,198,single,Which congenital lesion is most strongly associated with maternal lithium exposure?,Ebstein anomaly,TOF,Coarctation,Truncus,TGA,A,Ebstein anomaly is the classic association.,Congenital
198,199,single,Which stress test variable is directly used in Duke score besides exercise time?,LV ejection fraction,ST deviation and angina index,METs only,Troponin level,BP only,B,"The score uses time, ST deviation, and angina index.",Stress Testing
199,200,single,"A patient exercises 8 minutes, has 2 mm ST depression, and exercise-limiting angina. What is the Duke treadmill score?",-10,-12,0,+2,+8,A,DTS = 8 - (5x2) - (4x2) = 8 -10 -8 = -10.,Stress Testing
